Date : 2023-09-25 14:16:00
Directory : c:\Users\ricar\Desktop\front-vw\vw-frontend
Total : 260 files,  19505 codes, 289 comments, 874 blanks, all 20668 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Assitance\HeadBoard.tsx                     | TypeScript JSX     |         14 |          0 |          2 |         16 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Historical\HistoricalTab.tsx                | TypeScript JSX     |         44 |          0 |          3 |         47 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\assistence-per-shift\modules\Tabs\Historical\RowBoard.tsx                     | TypeScript JSX     |         79 |          0 |          4 |         83 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\RowBoard.tsx                                                     | TypeScript JSX     |         23 |          2 |          3 |         28 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\boardTechnitian.tsx                                              | TypeScript JSX     |         31 |          1 |          4 |         36 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\index.tsx                                                        | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\Tabs\ColaboratorsTab.tsx                                 | TypeScript JSX     |         38 |          0 |          6 |         44 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\Tabs\TechnitiansTab.tsx                                  | TypeScript JSX     |         49 |          1 |          6 |         56 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\boardTechnitian\CellBoard.tsx                            | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\boardTechnitian\HeadBoard.tsx                            | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\colaborators\modules\boardTechnitian\RowBoard.tsx                             | TypeScript JSX     |         41 |          7 |          3 |         51 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\Board.tsx                                                    | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\index.tsx                                                    | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\CellBoard.tsx                                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\FormStatus.tsx                                       | TypeScript JSX     |         42 |          0 |          3 |         45 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\HeadBoard.tsx                                        | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\RowBoard.tsx                                         | TypeScript JSX     |         78 |          3 |          7 |         88 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\escalated-issues\modules\ShiftTab.tsx                                         | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\fiveS\ReportCard.tsx                                                          | TypeScript JSX     |         24 |          0 |          3 |         27 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\fiveS\RowReport.tsx                                                           | TypeScript JSX     |         64 |          2 |          7 |         73 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\fiveS\index.tsx                                                               | TypeScript JSX     |        250 |          0 |          6 |        256 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\goals\GoalsReport.tsx                                                         | TypeScript JSX     |         55 |          0 |          6 |         61 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\goals\MonthDetails.tsx                                                        | TypeScript JSX     |        125 |          0 |          8 |        133 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\goals\index.tsx                                                               | TypeScript JSX     |         33 |          0 |          6 |         39 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\Board.tsx                                                        | TypeScript JSX     |         45 |          3 |          5 |         53 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\DetailBar.tsx                                                    | TypeScript JSX     |         65 |          2 |          5 |         72 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\index.tsx                                                        | TypeScript JSX     |         31 |          1 |          5 |         37 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\CellBoard.tsx                                            | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\FormBoard.tsx                                            | TypeScript JSX     |        182 |          4 |         11 |        197 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\HeadBoard.tsx                                            | TypeScript JSX     |         57 |          2 |          8 |         67 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\IssueCardDetail.tsx                                      | TypeScript JSX     |         33 |          0 |          9 |         42 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\RowBoard.tsx                                             | TypeScript JSX     |        369 |         24 |         30 |        423 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\detail-components\IssueCard.tsx                          | TypeScript JSX     |         43 |          0 |          8 |         51 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\hourlyIssues\modules\detail-components\LabelTab.tsx                           | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\index.tsx                                                                     | TypeScript JSX     |        135 |          0 |          7 |        142 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-evolution\Graph.tsx                                                    | TypeScript JSX     |         58 |          0 |          4 |         62 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-evolution\index.tsx                                                    | TypeScript JSX     |         31 |          0 |          4 |         35 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\index.tsx                                                     | TypeScript JSX     |         39 |          0 |          5 |         44 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\IssueCard.tsx                                         | TypeScript JSX     |         99 |          0 |          8 |        107 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\IssueReports\StatisticComponent.tsx | TypeScript JSX     |         85 |          0 |          8 |         93 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\GeneralPanel\index.tsx                           | TypeScript JSX     |        144 |          0 |          4 |        148 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\IssuesHistory\index.tsx                          | TypeScript JSX     |        170 |          0 |          6 |        176 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\PendingProblems\index.tsx                        | TypeScript JSX     |        144 |          0 |          5 |        149 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\issues-tracking\modules\Tabs\SolvedProblems\index.tsx                         | TypeScript JSX     |        144 |          0 |          6 |        150 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\Board.tsx                                                        | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\index.tsx                                                        | TypeScript JSX     |         34 |          0 |          5 |         39 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\CardStatistics.tsx                                       | TypeScript JSX     |         41 |          0 |          3 |         44 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\DayQuantity.tsx                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\HeadBoard.tsx                                            | TypeScript JSX     |         40 |          0 |          2 |         42 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\RowBoard.tsx                                             | TypeScript JSX     |         60 |          0 |         11 |         71 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\Tabs\Pareto\Chart.tsx                                    | TypeScript JSX     |         51 |          0 |          4 |         55 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\Tabs\Pareto\index.tsx                                    | TypeScript JSX     |        124 |         10 |         17 |        151 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\Tabs\Quality\index.tsx                                   | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\problem-list\modules\Tabs\VolumeAvailability\index.tsx                        | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\skills-matrix\Drawer.tsx                                                      | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\skills-matrix\UserRow.tsx                                                     | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\skills-matrix\index.tsx                                                       | TypeScript JSX     |         74 |          0 |          6 |         80 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\boardSideA.tsx                                             | TypeScript JSX     |         10 |          0 |          4 |         14 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\boardSideB.tsx                                             | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\index.tsx                                                  | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\Tabs\SideATab.tsx                                  | TypeScript JSX     |          3 |          0 |          1 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\Tabs\SideBTab.tsx                                  | TypeScript JSX     |         23 |          0 |          3 |         26 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\Tabs\index.tsx                                     | TypeScript JSX     |         22 |          0 |          4 |         26 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\boardSideB\CellBoard.tsx                           | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\boardSideB\FormStatus.tsx                          | TypeScript JSX     |         45 |          0 |          4 |         49 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\boardSideB\HeadBoard.tsx                           | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\standard-worksheet\modules\boardSideB\RowBoard.tsx                            | TypeScript JSX     |         85 |          0 |          7 |         92 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\team-goals\Board.tsx                                                          | TypeScript JSX     |        107 |          2 |         10 |        119 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\team-goals\index.tsx                                                          | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\team-goals\modules\ColorChangingBox.tsx                                       | TypeScript JSX     |         32 |          3 |          5 |         40 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\team-goals\modules\GoalsCard.tsx                                              | TypeScript JSX     |         40 |          0 |          2 |         42 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\dashboard\team-goals\modules\RowBoard.tsx                                               | TypeScript JSX     |         81 |          1 |          8 |         90 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\login\index.tsx                                                                         | TypeScript JSX     |        107 |          3 |         14 |        124 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\not-found\index.tsx                                                                     | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\upload-panel\critical-path\index.tsx                                                    | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\components\pages\upload-panel\index.tsx                                                                  | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\constants\colors.ts                                                                                      | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\constants\index.ts                                                                                       | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\formValidations\usersValidations.ts                                                                      | TypeScript         |         54 |          0 |          3 |         57 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\hooks\useErrorModal.ts                                                                                   | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\hooks\useForm.ts                                                                                         | TypeScript         |         85 |          0 |         19 |        104 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\hooks\useUsers.ts                                                                                        | TypeScript         |         74 |          0 |         12 |         86 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\APIGatewayResponse.ts                                                                         | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Assistence.ts                                                                                 | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Cell.ts                                                                                       | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\EscalatedIssue.ts                                                                             | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\HourXHour.ts                                                                                  | TypeScript         |         21 |          0 |          2 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Issue.ts                                                                                      | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\IssueCard.ts                                                                                  | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Line.ts                                                                                       | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Role.ts                                                                                       | TypeScript         |          4 |          0 |          0 |          4 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\Technitian.ts                                                                                 | TypeScript         |         10 |          0 |          1 |         11 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\interfaces\User.ts                                                                                       | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\main.css                                                                                                 | CSS                |         54 |          3 |         11 |         68 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\main.tsx                                                                                                 | TypeScript JSX     |         14 |          1 |          4 |         19 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Areas.ts                                                                                           | TypeScript         |         22 |          0 |          1 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Assistence.ts                                                                                      | TypeScript         |         69 |          0 |          3 |         72 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\AssitanceDay.ts                                                                                    | TypeScript         |         35 |          0 |          1 |         36 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\CardIssues.ts                                                                                      | TypeScript         |         37 |          0 |          1 |         38 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\CardsGoalTeam.ts                                                                                   | TypeScript         |         37 |          0 |          1 |         38 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\CellSelect.ts                                                                                      | TypeScript         |         26 |          0 |          1 |         27 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Cells.ts                                                                                           | TypeScript         |         39 |          0 |          3 |         42 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\CurrentYearResults.ts                                                                              | TypeScript         |         87 |          0 |          1 |         88 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\EscalatedIssues.ts                                                                                 | TypeScript         |        179 |          0 |          2 |        181 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\FiveS.ts                                                                                           | TypeScript         |         68 |          0 |          1 |         69 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\GoalsForYear.ts                                                                                    | TypeScript         |         27 |          0 |          1 |         28 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\GoalsStatus.ts                                                                                     | TypeScript         |         74 |          0 |          1 |         75 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\GraphShift.ts                                                                                      | TypeScript         |         44 |          0 |          1 |         45 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\HourxHourCard.ts                                                                                   | TypeScript         |        134 |          5 |          2 |        141 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\IssueMock.ts                                                                                       | TypeScript         |         29 |          0 |          1 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\IssuesCard.ts                                                                                      | TypeScript         |        460 |          0 |          2 |        462 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\LabelTabs.ts                                                                                       | TypeScript         |         22 |          0 |          1 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Lines.ts                                                                                           | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\MainThreeIssues.ts                                                                                 | TypeScript         |         17 |          0 |          1 |         18 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\MonthGoals.ts                                                                                      | TypeScript         |         98 |          0 |          1 |         99 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\MonthResults.ts                                                                                    | TypeScript         |         55 |          0 |          1 |         56 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Operations.ts                                                                                      | TypeScript         |         58 |          0 |          1 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\ParetoCharts.ts                                                                                    | TypeScript         |         22 |          0 |          1 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\PendingProblems.ts                                                                                 | TypeScript         |         21 |          0 |          1 |         22 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\ProblemList.ts                                                                                     | TypeScript         |        191 |          0 |          1 |        192 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\ProblemListCards.ts                                                                                | TypeScript         |         22 |          0 |          1 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\ReportCard.ts                                                                                      | TypeScript         |         92 |          0 |          1 |         93 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Roles.ts                                                                                           | TypeScript         |         27 |          0 |          3 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\SemesterResult.ts                                                                                  | TypeScript         |         38 |          0 |          1 |         39 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Shifts.ts                                                                                          | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\StandardWorksheetB.ts                                                                              | TypeScript         |        132 |          0 |          2 |        134 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\TeamGoals.ts                                                                                       | TypeScript         |        187 |          7 |          1 |        195 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Technitian.ts                                                                                      | TypeScript         |        114 |          0 |          3 |        117 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\TotalResults.ts                                                                                    | TypeScript         |         55 |          0 |          1 |         56 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\Users.ts                                                                                           | TypeScript         |        177 |          0 |          3 |        180 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\UsersSkills.ts                                                                                     | TypeScript         |         58 |          0 |          1 |         59 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\WeekResult.ts                                                                                      | TypeScript         |         67 |          0 |          1 |         68 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\mocks\YearStatusIssues.ts                                                                                | TypeScript         |         17 |          0 |          1 |         18 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\slices\authSlice.ts                                                                                | TypeScript         |         38 |          1 |          6 |         45 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\slices\authorizerSlice.ts                                                                          | TypeScript         |         23 |          1 |          6 |         30 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\slices\hourxhourSlice.ts                                                                           | TypeScript         |         77 |          1 |          7 |         85 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\slices\userSlice.ts                                                                                | TypeScript         |        102 |          1 |          7 |        110 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\thunks\authThunk.ts                                                                                | TypeScript         |         32 |          0 |          3 |         35 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\thunks\hourperhourThunk.ts                                                                         | TypeScript         |         20 |          1 |          2 |         23 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\redux\thunks\userThunk.ts                                                                                | TypeScript         |        135 |          0 |          9 |        144 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\routes\paths.ts                                                                                          | TypeScript         |         25 |          3 |          6 |         34 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\routes\privateRoute.tsx                                                                                  | TypeScript JSX     |         14 |          0 |          7 |         21 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\routes\provider.tsx                                                                                      | TypeScript JSX     |        129 |         11 |          4 |        144 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\utils\ApiError.ts                                                                                        | TypeScript         |         21 |          0 |          6 |         27 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\utils\index.ts                                                                                           | TypeScript         |         39 |          1 |         12 |         52 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\utils\validations.ts                                                                                     | TypeScript         |         15 |          0 |          7 |         22 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\src\vite-env.d.ts                                                                                            | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\tailwind.config.js                                                                                           | JavaScript         |         50 |          1 |          2 |         53 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\tsconfig.json                                                                                                | JSON with Comments |         20 |         24 |          2 |         46 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\tsconfig.node.json                                                                                           | JSON               |         10 |          0 |          1 |         11 |
| c:\Users\ricar\Desktop\front-vw\vw-frontend\vite.config.ts                                                                                               | TypeScript         |         27 |          0 |          3 |         30 |
| Total                                                                                                                                                    |                    |     19,505 |        289 |        874 |     20,668 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
